source_id,longitude,latitude,uber_loc,address,region,county,locality
1309964007,74.191,30.46431,Hauz Khas,"Hauz Khas, PB, India",Punjab,Firozpur,Hauz Khas
85928641,77.204802,28.548204,Hauz Khas,"Hauz Khas, Delhi, India",Delhi,South West Delhi,Delhi
1511435117,77.567856,12.979087,Subhash Nagar,"Subhash Nagar, Bangalore, KA, India",Karnataka,Bangalore,Bangalore
1511390419,77.27208,28.67082,Seelampur,"Seelampur, Delhi, India",Delhi,South West Delhi,Delhi
node/2586278342,72.886755,19.116503,Ashok Vihar,"Ashok Vihar, Mumbai, MH, India",Maharashtra,Mumbai City,Mumbai
way/970829591,77.178378,28.690987,Ashok Vihar,"Ashok Vihar, Delhi, India",Delhi,South West Delhi,Delhi
way/446767374,74.19094,17.291025,Ashok Vihar,"Ashok Vihar, Karad, MH, India",Maharashtra,Satara,Karad
node/4225298889,75.842558,26.829611,Ashok Vihar,"Ashok Vihar, Jagatpura, Jaipur, RJ, India",Rajasthan,Jaipur,Jaipur
polyline:21260748,85.309796,23.350361,Ashok Vihar,"Ashok vihar road, Ranchi, JH, India",Jharkhand,Ranchi,Ranchi
node/9969678884,77.275754,28.560603,Ardee City,"The Ardee School, Delhi, India",Delhi,South West Delhi,Delhi
relation/3635760,77.072186,28.436376,Ardee City,"Ardee City, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/7676690141,85.82612,23.817621,Ardee City,"Ardeer Hospital, JH, India",Jharkhand,Bokaro,
node/6539894856,77.234197,28.625612,Mandi House,"Mandi House, Delhi, India",Delhi,South West Delhi,Delhi
node/6191428420,77.233778,28.625848,Mandi House,"Mandi House, Delhi, India",Delhi,South West Delhi,Delhi
node/5677933257,77.234361,28.625287,Mandi House,"Mandi House 3, Delhi, India",Delhi,South West Delhi,Delhi
way/798801356,76.952472,10.01622,Mandi House,"Malabar Mandi House, KL, India",Kerala,Idukki,
node/9869681848,79.600389,17.987477,Mandi House,"dine in mandi house, Warangal, TG, India",Telangana,Warangal,Warangal
node/4676900919,77.295788,28.6536,Karkarduma,"Karkarduma Court, Delhi, India",Delhi,South West Delhi,Delhi
relation/3808501,77.30446,28.651204,Karkarduma,"Karkarduma, Delhi, India",Delhi,South West Delhi,Delhi
node/2833971689,77.306069,28.649343,Karkarduma,"Karkarduma (Pink Line), Delhi, India",Delhi,South West Delhi,Delhi
node/6458130120,77.305518,28.648318,Karkarduma,"Karkarduma (Blue Line), Delhi, India",Delhi,South West Delhi,Delhi
relation/3833519,77.306726,28.646313,Karkarduma,"TOD Karkarduma, Delhi, India",Delhi,South West Delhi,Delhi
890501401,81.5113,25.37841,Kaushambi,"Kaushambi district, UP, India",Uttar Pradesh,Kaushambi,Kaushambi district
1108695841,81.448508,25.471923,Kaushambi,"Kaushambi, UP, India",Uttar Pradesh,Kaushambi,
node/7282286731,77.229128,28.602245,Khan Market,"Khan Market, Delhi, India",Delhi,South West Delhi,Delhi
node/10221267678,77.227724,28.603203,Khan Market,"Khan Market, Delhi, India",Delhi,South West Delhi,Delhi
890507483,77.226867,28.600341,Khan Market,"Khan Market, Delhi, India",Delhi,South West Delhi,Delhi
polyline:20405276,77.226002,28.599482,Khan Market,"Khan Market, Delhi, India",Delhi,South West Delhi,Delhi
